Animal_ID,State,Sex,Age_months,Birth_Weight_kg,Current_Weight_kg,Body_Condition_Score,Frame_Score,Parity,Health_Status,Forage_Type,Dry_Matter_Intake_kg,Crude_Protein_pct,TDN_pct,Water_Intake_L,Mineral_Supplement,Energy_Balance,Avg_Temp_C,Annual_Rainfall_mm,Season,Humidity_pct,Heat_Stress_Index,Altitude_m,Veld_Condition,Herd_Size,Grazing_System,Vaccination_Status,Deworming,Housing_Type,Breeding_Method,Record_Keeping,Avg_Daily_Gain_kg,Calving_Rate_pct,Weaning_Weight_kg,Enteric_CH4_kg,Manure_CH4_kg,Total_CH4_kg,CH4_CO2e_kg,Direct_CO2_kg,N2O_CO2e_kg,Total_CO2e_excl_CH4_kg,Carbon_Seq_kg_CO2,GHG_Gross_CO2e_kg,GHG_Net_CO2e_kg,Carbon_Intensity_kgCO2e_per_kgGain,Intervention_Moringa,Intervention_Tannin,Intervention_Genetic,Intervention_Solar,Num_Interventions,Baseline_Enteric_CH4_kg,Baseline_Manure_CH4_kg,Baseline_Total_CH4_kg,Baseline_Direct_CO2_kg,Baseline_N2O_CO2e_kg,Baseline_Carbon_Seq_kg,Baseline_Gross_GHG_CO2e_kg,Baseline_Net_GHG_CO2e_kg,Baseline_Carbon_Intensity,Int_Enteric_CH4_kg,Int_Manure_CH4_kg,Int_Total_CH4_kg,Int_Direct_CO2_kg,Int_N2O_CO2e_kg,Int_Carbon_Seq_kg,Int_Gross_GHG_CO2e_kg,Int_Net_GHG_CO2e_kg,Int_ADG_kg,Int_Carbon_Intensity,Delta_CH4_kg,Delta_Net_GHG_CO2e_kg,Delta_Pct_Net_GHG_Reduction
BSM-0011,Limpopo,Cow,118,33.2,1010.5,3.5,5,1,Healthy,Native Veld,22.54,13.9,58.6,112.4,Yes,Negative,28.3,686,Spring,67.0,89.6,613,Fair,126,Continuous,Partial,Regular,Semi-intensive,Natural mating,,1.008,87.0,188.6,120.0,15.0,135.0,3780.0,234.17,1219.11,1453.28,900.0,5233.28,4333.28,11.78,Yes,Yes,Yes,No,3,120.0,15.0,135.0,234.17,1219.11,900.0,5233.28,4333.28,11.78,75.944,15.0,90.944,216.459,927.384,943.916,3690.275,2746.359,1.0817,6.956,44.056,1586.921,36.62
BSM-0012,Free State,Steer,17,31.8,184.9,3.4,7,0,Healthy,Improved Pasture,4.09,9.4,60.7,19.7,No,Negative,23.5,396,Spring,44.2,78.7,1267,Fair,74,Rotational,Up to date,,Extensive,Both,Digital,1.299,,190.6,90.64,1.46,92.1,2578.8,322.62,149.6,472.22,900.0,3051.02,2151.02,4.54,No,No,Yes,No,1,90.64,1.46,92.1,322.62,149.6,900.0,3051.02,2151.02,4.54,78.272,1.46,79.732,295.589,149.6,926.887,2677.685,1750.798,1.299,3.693,12.368,400.222,18.61
BSM-0013,Free State,Steer,13,32.3,146.8,2.1,6,0,Recovered,Mixed,3.19,9.2,71.8,9.4,Yes,Negative,16.6,495,Winter,48.9,66.8,1623,Good,265,Rotational,Up to date,Regular,Intensive,Natural mating,Manual,0.308,,189.9,75.73,12.87,88.6,2480.8,359.54,114.2,473.74,900.0,2954.54,2054.54,18.28,No,No,No,No,0,75.73,12.87,88.6,359.54,114.2,900.0,2954.54,2054.54,18.28,75.73,12.87,88.6,359.54,114.2,900.0,2954.54,2054.54,0.308,18.276,0.0,0.0,0.0
BSM-0014,Limpopo,Bull,93,32.5,905.5,4.2,7,0,Mild Illness,Crop Residue,24.68,15.7,54.7,88.1,Yes,Negative,30.1,682,Summer,40.0,90.2,693,Fair,183,Rotational,Partial,Occasional,Extensive,Both,Manual,0.447,,146.5,120.0,9.58,129.58,3628.24,244.87,1507.71,1752.58,900.0,5380.82,4480.82,27.46,Yes,Yes,Yes,No,3,120.0,9.58,129.58,244.87,1507.71,900.0,5380.82,4480.82,27.46,77.562,9.58,87.142,229.521,1190.028,940.886,3859.525,2918.639,0.4674,17.108,42.438,1562.181,34.86
BSM-0015,Limpopo,Heifer,9,30.0,80.8,3.6,6,0,Healthy,Native Veld,2.12,7.1,59.2,6.0,Yes,Positive,26.6,662,Autumn,78.6,87.7,362,Good,34,Continuous,Up to date,Regular,Semi-intensive,AI,Digital,0.432,,202.4,55.87,2.22,58.09,1626.52,215.55,58.57,274.12,900.0,1900.64,1000.64,6.35,Yes,No,No,No,1,55.87,2.22,58.09,215.55,58.57,900.0,1900.64,1000.64,6.35,46.699,2.22,48.919,215.55,53.424,900.0,1638.706,738.706,0.4634,4.367,9.171,261.934,26.18
BSM-0016,Limpopo,Steer,16,30.8,166.4,2.6,6,0,Healthy,Crop Residue,3.18,14.9,56.4,15.6,Yes,Neutral,23.8,448,Summer,55.9,80.4,571,Good,20,Rotational,Up to date,Occasional,Extensive,Natural mating,Digital,1.316,,165.7,76.35,1.33,77.68,2175.04,208.66,184.37,393.03,900.0,2568.07,1668.07,3.47,Yes,No,No,No,1,76.35,1.33,77.68,208.66,184.37,900.0,2568.07,1668.07,3.47,66.731,1.33,68.061,208.66,168.059,900.0,2282.427,1382.427,1.4314,2.646,9.619,285.643,17.12
BSM-0017,Limpopo,Cow,68,31.3,622.3,2.3,3,6,Mild Illness,Crop Residue,11.87,8.8,66.8,73.1,Yes,Neutral,28.5,599,Winter,74.8,90.8,336,Poor,156,Continuous,Up to date,Regular,Semi-intensive,AI,Digital,1.029,50.9,225.9,120.0,14.37,134.37,3762.36,290.28,406.45,696.73,361.07,4459.09,4098.02,10.91,No,Yes,No,No,1,120.0,14.37,134.37,290.28,406.45,361.07,4459.09,4098.02,10.91,99.104,14.37,113.474,290.28,350.418,361.07,3817.97,3456.9,1.0035,9.438,20.896,641.12,15.64
BSM-0018,North West,Cow,79,32.7,656.1,3.2,4,5,Healthy,Improved Pasture,14.62,15.5,66.8,74.0,Yes,Neutral,24.2,571,Spring,47.3,80.3,1014,Fair,170,Continuous,Partial,Regular,Semi-intensive,Both,,1.347,82.8,153.6,120.0,15.0,135.0,3780.0,421.6,881.76,1303.36,900.0,5083.36,4183.36,8.51,No,No,No,No,0,120.0,15.0,135.0,421.6,881.76,900.0,5083.36,4183.36,8.51,120.0,15.0,135.0,421.6,881.76,900.0,5083.36,4183.36,1.347,8.509,0.0,0.0,0.0
BSM-0019,North West,Steer,22,31.9,233.8,4.5,7,0,Healthy,Crop Residue,4.44,10.1,56.4,19.7,No,Negative,20.3,412,Winter,73.0,75.8,1250,Good,199,Rotational,Partial,Regular,Intensive,Natural mating,,0.941,,191.5,109.6,15.0,124.6,3488.8,370.2,174.49,544.69,900.0,4033.49,3133.49,9.12,No,No,Yes,Yes,2,109.6,15.0,124.6,370.2,174.49,900.0,4033.49,3133.49,9.12,98.088,15.0,113.088,94.936,174.49,952.021,3435.89,2483.869,0.941,7.232,11.512,649.621,20.73
BSM-0020,Limpopo,Bull,105,35.5,1178.1,4.6,6,0,Healthy,Improved Pasture,28.5,11.0,51.8,91.3,No,Neutral,22.4,643,Spring,32.7,75.6,645,Fair,251,Continuous,Up to date,,Extensive,AI,Manual,0.808,,134.6,120.0,11.49,131.49,3681.72,324.45,1219.86,1544.31,900.0,5226.03,4326.03,14.67,Yes,Yes,No,No,2,120.0,11.49,131.49,324.45,1219.86,900.0,5226.03,4326.03,14.67,81.586,11.49,93.076,324.45,895.089,900.0,3825.667,2925.667,0.8545,9.38,38.414,1400.363,32.37
BSM-0021,North West,Heifer,17,34.5,174.0,3.8,7,0,Healthy,Native Veld,3.38,13.4,50.3,12.9,Yes,Negative,23.5,522,Spring,79.1,82.2,1036,Good,207,Strip,Partial,Regular,Semi-intensive,Natural mating,Digital,1.172,,136.1,86.75,4.58,91.33,2557.24,207.39,176.24,383.63,900.0,2940.87,2040.87,4.77,No,No,No,No,0,86.75,4.58,91.33,207.39,176.24,900.0,2940.87,2040.87,4.77,86.75,4.58,91.33,207.39,176.24,900.0,2940.87,2040.87,1.172,4.771,0.0,0.0,0.0
BSM-0022,Limpopo,Cow,44,31.4,429.1,4.2,7,1,Recovered,Improved Pasture,9.97,12.3,59.4,39.5,No,Positive,25.2,606,Summer,75.6,84.9,532,Fair,37,Continuous,Up to date,Regular,Semi-intensive,AI,,0.477,66.3,169.0,120.0,11.45,131.45,3680.6,352.1,477.17,829.27,900.0,4509.87,3609.87,20.73,Yes,No,No,No,1,120.0,11.45,131.45,352.1,477.17,900.0,4509.87,3609.87,20.73,105.114,11.45,116.564,352.1,430.686,900.0,4046.578,3146.578,0.5212,16.54,14.886,463.292,12.83
BSM-0023,Limpopo,Steer,15,36.1,192.2,2.3,6,0,Healthy,Improved Pasture,3.47,9.9,59.0,12.8,Yes,Negative,24.0,682,Summer,48.2,80.0,875,Fair,244,Rotational,Up to date,Regular,Semi-intensive,AI,Manual,0.719,,172.5,74.03,3.53,77.56,2171.68,401.11,133.67,534.78,900.0,2706.46,1806.46,6.88,Yes,No,No,No,1,74.03,3.53,77.56,401.11,133.67,900.0,2706.46,1806.46,6.88,61.649,3.53,65.179,401.11,117.88,900.0,2344.002,1444.002,0.7857,5.035,12.381,362.458,20.06
BSM-0024,North West,Steer,19,37.6,194.2,3.8,8,0,Healthy,Improved Pasture,4.11,12.0,71.7,18.1,Yes,Neutral,20.4,382,Winter,68.7,75.6,1127,Good,124,Strip,Partial,Regular,Extensive,Natural mating,Manual,0.813,,226.6,89.33,2.2,91.53,2562.84,329.05,191.91,520.96,900.0,3083.8,2183.8,7.36,No,No,Yes,No,1,89.33,2.2,91.53,329.05,191.91,900.0,3083.8,2183.8,7.36,80.36,2.2,82.56,304.627,191.91,944.305,2808.217,1863.912,0.813,6.281,8.97,319.888,14.65
BSM-0025,North West,Steer,18,25.9,145.9,4.0,5,0,Healthy,Improved Pasture,3.61,13.6,60.3,8.8,Yes,Neutral,26.8,562,Autumn,67.6,87.0,915,Good,225,Strip,Up to date,Occasional,Extensive,Natural mating,Manual,0.628,,189.0,78.05,0.53,78.58,2200.24,343.96,191.04,535.0,900.0,2735.24,1835.24,8.01,No,No,No,Yes,1,78.05,0.53,78.58,343.96,191.04,900.0,2735.24,1835.24,8.01,78.05,0.53,78.58,80.94,191.04,921.71,2472.22,1550.51,0.628,6.764,0.0,284.73,15.51
BSM-0026,Free State,Cow,114,34.8,1052.1,2.6,4,3,Healthy,Mixed,24.03,7.4,55.6,83.6,No,Positive,22.3,370,Summer,75.1,79.6,1744,Fair,205,Rotational,Up to date,Occasional,Extensive,Natural mating,Manual,0.708,77.8,222.3,120.0,10.25,130.25,3647.0,255.22,691.92,947.14,900.0,4594.14,3694.14,14.3,No,No,No,No,0,120.0,10.25,130.25,255.22,691.92,900.0,4594.14,3694.14,14.3,120.0,10.25,130.25,255.22,691.92,900.0,4594.14,3694.14,0.708,14.295,0.0,0.0,0.0
BSM-0027,Limpopo,Steer,11,29.9,84.9,4.6,4,0,Mild Illness,Mixed,2.36,7.1,69.6,6.2,No,Neutral,25.3,657,Spring,45.4,82.1,742,Fair,84,Strip,Up to date,,Extensive,Both,Manual,0.386,,180.5,54.36,1.12,55.48,1553.44,247.22,65.2,312.42,900.0,1865.86,965.86,6.86,Yes,No,No,No,1,54.36,1.12,55.48,247.22,65.2,900.0,1865.86,965.86,6.86,46.766,1.12,47.886,247.22,59.309,900.0,1647.337,747.337,0.4222,4.85,7.594,218.523,22.62
BSM-0028,North West,Heifer,7,34.4,69.4,2.6,8,0,Healthy,Mixed,1.86,11.1,60.8,8.2,No,Negative,26.8,351,Winter,53.3,85.6,1363,Fair,226,Strip,Up to date,Regular,Semi-intensive,Natural mating,Manual,0.518,,205.2,44.04,2.11,46.15,1292.2,286.48,80.34,366.82,900.0,1659.02,759.02,4.01,No,No,No,No,0,44.04,2.11,46.15,286.48,80.34,900.0,1659.02,759.02,4.01,44.04,2.11,46.15,286.48,80.34,900.0,1659.02,759.02,0.518,4.014,0.0,0.0,0.0
BSM-0029,North West,Cow,38,35.7,358.7,2.9,3,3,Healthy,Crop Residue,7.74,8.2,63.2,37.2,Yes,Positive,26.2,490,Winter,73.2,86.5,1111,Fair,248,Continuous,Up to date,Regular,Semi-intensive,AI,Manual,0.669,74.3,171.9,120.0,9.51,129.51,3626.28,283.07,246.96,530.03,900.0,4156.31,3256.31,13.34,No,No,No,No,0,120.0,9.51,129.51,283.07,246.96,900.0,4156.31,3256.31,13.34,120.0,9.51,129.51,283.07,246.96,900.0,4156.31,3256.31,0.669,13.335,0.0,0.0,0.0
BSM-0030,Limpopo,Heifer,9,29.4,74.4,3.9,8,0,Healthy,Mixed,1.37,13.0,52.1,6.0,Yes,Neutral,27.0,426,Autumn,68.9,87.5,546,Fair,88,Rotational,Up to date,Occasional,Extensive,Natural mating,,1.175,,170.2,34.36,1.1,35.46,992.88,277.83,69.3,347.13,900.0,1340.01,440.01,1.03,Yes,No,No,No,1,34.36,1.1,35.46,277.83,69.3,900.0,1340.01,440.01,1.03,29.685,1.1,30.785,277.83,63.42,900.0,1203.23,303.23,1.2397,0.67,4.675,136.78,31.09
BSM-0031,North West,Bull,55,26.4,357.9,3.9,3,0,Mild Illness,Native Veld,9.47,8.9,58.4,23.5,No,Positive,25.5,406,Winter,49.7,82.9,1185,Good,161,Continuous,Up to date,,Intensive,AI,Digital,0.501,,144.5,120.0,15.0,135.0,3780.0,235.93,327.95,563.88,900.0,4343.88,3443.88,18.83,No,Yes,Yes,No,2,120.0,15.0,135.0,235.93,327.95,900.0,4343.88,3443.88,18.83,84.574,15.0,99.574,220.914,285.881,931.565,3294.867,2363.302,0.4947,13.088,35.426,1080.578,31.38
BSM-0032,Limpopo,Cow,98,34.5,762.6,4.1,3,6,Healthy,Native Veld,20.68,10.9,70.8,69.4,Yes,Negative,26.2,544,Summer,72.3,86.4,612,Poor,225,Rotational,Up to date,,Extensive,AI,Manual,0.681,68.7,198.4,120.0,8.88,128.88,3608.64,178.38,877.1,1055.48,330.52,4664.12,4333.6,17.43,Yes,No,No,No,1,120.0,8.88,128.88,178.38,877.1,330.52,4664.12,4333.6,17.43,104.752,8.88,113.632,178.38,788.251,330.52,4148.327,3817.807,0.7272,14.384,15.248,515.793,11.9
BSM-0033,Limpopo,Cow,43,32.4,329.9,2.3,8,5,Healthy,Improved Pasture,8.65,8.8,63.0,24.0,Yes,Positive,28.3,474,Spring,32.3,86.2,875,Good,193,Rotational,Up to date,Occasional,Extensive,AI,Digital,0.371,87.0,196.6,120.0,4.0,124.0,3472.0,341.09,296.19,637.28,900.0,4109.28,3209.28,23.7,Yes,Yes,No,No,2,120.0,4.0,124.0,341.09,296.19,900.0,4109.28,3209.28,23.7,84.702,4.0,88.702,341.09,234.004,900.0,3058.75,2158.75,0.3994,14.808,35.298,1050.53,32.73
BSM-0034,Free State,Bull,111,27.0,890.4,4.5,4,0,Healthy,Crop Residue,17.17,11.9,57.6,82.1,Yes,Positive,15.7,357,Winter,69.1,67.2,1317,Fair,216,Continuous,Partial,Regular,Extensive,Both,Manual,0.913,,209.4,120.0,7.29,127.29,3564.12,249.46,795.04,1044.5,900.0,4608.62,3708.62,11.13,No,Yes,No,Yes,2,120.0,7.29,127.29,249.46,795.04,900.0,4608.62,3708.62,11.13,94.959,7.29,102.249,92.385,708.585,914.896,3663.942,2749.046,0.9236,8.155,25.041,959.574,25.87
BSM-0035,Free State,Bull,38,39.6,407.0,3.6,5,0,Healthy,Improved Pasture,11.39,8.0,63.8,44.8,Yes,Positive,22.7,394,Winter,40.3,76.9,1620,Poor,216,Rotational,Partial,Regular,Semi-intensive,Natural mating,Digital,0.972,,195.4,120.0,13.06,133.06,3725.68,383.56,354.56,738.12,343.04,4463.8,4120.76,11.61,No,Yes,No,No,1,120.0,13.06,133.06,383.56,354.56,343.04,4463.8,4120.76,11.61,96.651,13.06,109.711,383.56,296.571,343.04,3752.039,3408.999,0.9649,9.679,23.349,711.761,17.27
BSM-0036,Free State,Heifer,11,33.9,125.8,3.4,4,0,Healthy,Crop Residue,2.59,7.2,70.0,12.2,Yes,Neutral,18.2,438,Spring,44.3,69.2,1442,Fair,247,Continuous,Partial,Occasional,Semi-intensive,Natural mating,Digital,1.252,,240.7,65.39,2.3,67.69,1895.32,256.51,72.56,329.07,900.0,2224.39,1324.39,2.9,No,No,No,No,0,65.39,2.3,67.69,256.51,72.56,900.0,2224.39,1324.39,2.9,65.39,2.3,67.69,256.51,72.56,900.0,2224.39,1324.39,1.252,2.898,0.0,0.0,0.0
BSM-0037,Limpopo,Cow,94,34.0,667.7,4.9,4,5,Healthy,Native Veld,16.85,7.5,56.0,65.5,Yes,Positive,27.9,688,Winter,54.7,87.7,698,Fair,290,Strip,Up to date,Occasional,Extensive,Both,,1.201,87.3,194.4,120.0,5.73,125.73,3520.44,193.44,491.74,685.18,900.0,4205.62,3305.62,7.54,No,No,Yes,No,1,120.0,5.73,125.73,193.44,491.74,900.0,4205.62,3305.62,7.54,102.638,5.73,108.368,177.883,491.74,924.433,3703.927,2779.494,1.201,6.341,17.362,526.126,15.92
BSM-0038,Limpopo,Heifer,17,36.1,206.6,4.2,4,0,Healthy,Native Veld,5.59,15.6,61.1,19.1,Yes,Neutral,24.9,564,Winter,52.5,82.1,540,Good,218,Continuous,Up to date,Occasional,Semi-intensive,Natural mating,Digital,0.614,,214.8,120.0,6.13,126.13,3531.64,192.59,339.32,531.91,900.0,4063.55,3163.55,14.12,Yes,No,Yes,No,2,120.0,6.13,126.13,192.59,339.32,900.0,4063.55,3163.55,14.12,87.191,6.13,93.321,180.509,299.011,940.979,3092.508,2151.529,0.6715,8.778,32.809,1012.021,31.99
BSM-0039,North West,Bull,65,30.3,411.0,2.4,8,0,Healthy,Crop Residue,8.37,8.3,71.1,47.5,Yes,Negative,26.0,378,Autumn,56.0,84.4,1065,Poor,34,Rotational,Up to date,Regular,Extensive,AI,Manual,0.451,,181.9,120.0,3.85,123.85,3467.8,239.89,270.32,510.21,900.0,3978.01,3078.01,18.7,No,Yes,No,Yes,2,120.0,3.85,123.85,239.89,270.32,900.0,3978.01,3078.01,18.7,95.548,3.85,99.398,50.297,235.795,920.479,3069.236,2148.757,0.4541,12.964,24.452,929.253,30.19
BSM-0040,North West,Cow,49,32.4,440.7,4.3,8,4,Healthy,Native Veld,11.94,13.4,53.8,51.1,Yes,Negative,18.0,574,Summer,57.2,70.1,937,Good,235,Continuous,Up to date,Regular,Extensive,AI,,0.472,75.5,167.3,120.0,5.38,125.38,3510.64,161.44,622.56,784.0,900.0,4294.64,3394.64,19.7,No,No,No,No,0,120.0,5.38,125.38,161.44,622.56,900.0,4294.64,3394.64,19.7,120.0,5.38,125.38,161.44,622.56,900.0,4294.64,3394.64,0.472,19.704,0.0,0.0,0.0
BSM-0041,Limpopo,Cow,37,28.0,238.5,2.3,8,0,Healthy,Native Veld,5.03,7.6,65.8,21.6,Yes,Positive,26.2,696,Winter,46.6,83.8,444,Fair,54,Continuous,Up to date,Regular,Extensive,AI,Manual,1.366,66.0,207.9,120.0,1.95,121.95,3414.6,166.61,148.75,315.36,900.0,3729.96,2829.96,5.68,Yes,No,No,No,1,120.0,1.95,121.95,166.61,148.75,900.0,3729.96,2829.96,5.68,97.607,1.95,99.557,166.61,132.315,900.0,3086.521,2186.521,1.4748,4.062,22.393,643.439,22.74
BSM-0042,North West,Heifer,6,30.2,80.5,2.1,4,0,Healthy,Native Veld,2.24,8.0,63.5,6.3,Yes,Negative,23.8,555,Summer,38.8,78.7,1343,Good,88,Rotational,Up to date,Regular,Extensive,Natural mating,Digital,1.041,,187.8,57.4,1.04,58.44,1636.32,180.93,69.73,250.66,900.0,1886.98,986.98,2.6,No,No,No,No,0,57.4,1.04,58.44,180.93,69.73,900.0,1886.98,986.98,2.6,57.4,1.04,58.44,180.93,69.73,900.0,1886.98,986.98,1.041,2.598,0.0,0.0,0.0
BSM-0043,Limpopo,Cow,60,33.2,484.5,3.2,5,2,Healthy,Native Veld,10.08,11.6,65.0,42.4,Yes,Neutral,31.1,662,Autumn,68.4,94.8,897,Good,231,Continuous,Partial,Regular,Semi-intensive,Natural mating,Digital,0.347,79.1,210.8,120.0,11.31,131.31,3676.68,211.51,454.98,666.49,900.0,4343.17,3443.17,27.19,Yes,No,No,Yes,2,120.0,11.31,131.31,211.51,454.98,900.0,4343.17,3443.17,27.19,102.388,11.31,113.698,24.097,415.087,922.537,3622.728,2700.191,0.3718,19.897,17.612,742.979,21.58
